Artista;Cancion
AC DC;Back in black
AC DC;Hard as a rock
AC DC;Highway to hell
AC DC;You shook me all night long
Aerosmith;Cryin
Aerosmith;Sweet emotion
Aerosmith;Dream on
Alanis Morissette;Ironic
Alice in chains;Man in a box
Alice in chains;Down in a hole
Andrés Calamaro;Dulce condena
Andrés Calamaro;Flaca
Andrés Calamaro;No se puede vivir del amor
Audioslave;Like a stone
Audioslave;Doesn’t Remind Me
Beatles;All my loving
Beatles;I've Got a Feeling
Beatles;Hey jude
Beatles;Let it be
Beatles;dont let me down
Beatles;Get back
Beatles;yesterday
Ben E. King;Stand by me
Bersuit;Un pacto para vivir
Bersuit;Yo tomo
Black Sabbath;Paranoid
Blind Melon;No rain
Blur;Song 2
Bob Dylan;Hurricane
Bob Dylan;Knockin on heaven´s door
Bob Marley;Buffalo soldier
Bob Marley;Is this love
Bob Marley;No woman no cry
Bob Marley;Redemption song
Bobby McFerrin;Don´t Worry, be happy
bon jovi;Always
bon jovi;livin on a prayer
bon jovi;wanted dead or alive
Candlebox;Far Behind
Cat Stevens;Father and son
Cat Stevens;Wild world
Chancho en piedra;
Chancho en piedra;Eden
Chancho en piedra;Da la claridad a nuestro sol
Coldplay;Yellow
Cranberries;Zombie
Cranberries;Dreams
Creedence Clearwater Revival;Fortunate Son
Creedence Clearwater Revival;Bad moon rising
Creedence Clearwater Revival;Have you ever seen the rain
Creedence Clearwater Revival;Proud Mary
Deep purple;Smoke on the purple
Deep purple;Highway Star
Divididos;Que Ves
Eagles;Hotel california
Enanitos Verdes;El extraño de pelo largo
Enanitos Verdes;Lamento Boliviano
Enanitos Verdes;Tus viejas cartas
Eric Clapton;Tears in Heaven
Eric Clapton;Cocaine
Extreme;More than words
Fito Paez;A rodar mi vida
Fito Paez;Al lado del camino
Fito Paez;Circo beat
Fito Paez;El amor después del amor
Fito Paez;La rueda mágica
Fito Paez;Te vi
Fito Paez;Y dale alegría a mi corazón
Green day;She
Green day;Basket Case
Green day;When I Come around
Green day;Wake me up when september ends
Guns n Roses;Don´t cry
Guns n Roses;Patience
Guns n Roses;Sweet child o mine
illapu;sobreviviendo
illapu;lejos del amor
Iron Maiden;Running Free
Iron Maiden;Fear of the dark
Iron Maiden;The trooper
Jack Johnson;Banana pancakes
Jarabe de Palo;La flaca
Jimi Hendrix;All along the watchtower
Jimi Hendrix;Purple haze
Jimi Hendrix;The wind cries Mary
kings of leon;sex on fire
Kiss;strutter
Kiss;rock and roll all nite
Kiss;lick it up
Kyuss;Gardenia
Kyuss;Green Machine
La mancha de rolando;Arde la ciudad
La renga;El revelde
La renga;balada del diablo y la muerte
León Gieco;Solo le pido a Dios
Linkin park;Numb
Los Jaivas;Todos juntos
Los prisioneros;El baile de los que sobran
Los prisioneros;No necesitamos banderas
Los prisioneros;Paramar
Los prisioneros;por que no se van
Los prisioneros;We are southamerican rockers
Los Rodríguez;Sin documentos
Los tres;Amor violento
Los tres;Déjate caer
Los tres;El aval
Los tres;Flores secas
Los tres;He barrido el sol
Los tres;No me falles
Los tres;No sabes que desperdicio tengo en el alma
Los tres;Quien es la que viene ahí
Los tres;Tirate
Los tres;Tu cariño se me va
Lucybell;Carnaval
Lucybell;Mataz
Lucybell;Mil caminos
Lucybell;Ten paz
Lucybell;Tropezar al andar
Lucybell;Tu sangre
Lucybell;Sembrando en el mar
Lucybell;Ver el fin
Lucybell;Vete
Lucybell;Viajar
Lynyrd Skynyrd;Sweet Home Alabama
Maná;En el muelle de san blas
Maná;Rayando el sol
Maná;Vivir sin aire
Meredith Brooks;Bitch
Metallica;The Four Horsemen
Metallica;Creeping Death
Metallica;Master of Puppets
Metallica;One
Metallica;Nothing Else Matters
Metallica;Enter Sandman
Michael Jackson;Billie Jean
Motorhead;Ace of Spades
Muse;madness
Nicole;Sin Gamulán
Nirvana;Come as you are
Nirvana;Dumb
Nirvana;Polly
Nirvana;Rape me
Nirvana;The man who sold the world
Oasis;Don´t look back in anger
Oasis;Cigarettes &  alcohol
Oasis;Wonderwall
Ozzy Osbourne;crazy train
Pantera;Cemetery Gates
Pearl Jam;Alive
Pearl Jam;Black
Pearl Jam;Even flow
Pearl Jam;Yellow ledbetter
Pink floyd;Another brick in the wall
Pink floyd;Comfortably numb
Pink floyd;Hey you
Pink floyd;Mother
Pink floyd;Wish you were here
Pixies;Where is my mind
Radiohead;High and dry
Radiohead;Creep
Red hot chili peppers;By the way
Red hot chili peppers;Californication
Red hot chili peppers;Can´t stop
Red hot chili peppers;Aeroplane
Red hot chili peppers;Otherside
Red hot chili peppers;Road trippin
Red hot chili peppers;Snow (hey oh)
Red hot chili peppers;Under the bridge
REM;Everybody hurts
REM;Losing my religion
Rush;The spirit of radio
ritchie valens;La Bamba
Sabina;Llueve sobre mojado
Silvio Rodríguez;Ojalá
Silvio Rodríguez;Playa girón
Snow patrol;Chasing Cars
Snow patrol;Run
Soda Stereo;Cae el sol
Soda Stereo;Canción animal
Soda Stereo;Cuando pase el temblor
Soda Stereo;De música ligera
Soda Stereo;El rito
Soda Stereo;Ella uso mi cabeza como un revolver
Soda Stereo;En la ciudad de la furia
Soda Stereo;Entre Canibales
Soda Stereo;Fue
Soda Stereo;Pasos
Soda Stereo;Primavera 0
Soda Stereo;Sueles dejarme solo
Soda Stereo;Te para 3
Soda Stereo;Un misil en mi placard
The Cranberries;Animal instinct
The Cranberries;Dreaming my dreams
The Cranberries;Linger
The Cranberries;No need to argue
The Cranberries;Ode to my family
The Cranberries;Zombie
The cure;pictures of you
The Doors;Light my fire
The Doors;Roadhouse blues
The Eagles;Hotel California
The police;Every breath you take
The Rolling Stones;Angie
The Rolling Stones;Gimme shelter
The Rolling Stones;Paint it black
The Rolling Stones;Brown sugar
The Rolling Stones;Ruby Tuesday
The Rolling Stones;Satisfaction
The Rolling Stones;You can´t always get what you want
Tom Petty;American girl
Tracy chapman;Baby can I hold you
Tracy chapman;Talkin´ about revolution
U2;One
U2;Sunday bloody Sunday
U2;With or without you
U2;Still haven’t found what I’m looking for
